no,lokasi,layanan,tanggal_publikasi,jumlah_pengguna_layanan,rating
107,Touama,Kanlam,9/6/2022,200,9.3
108,Kostrovo,Fix San,13/10/2022,95,3.5
109,Kambing,Y-Solowarm,29/03/2022,19,5.5
110,Entre Rios,Biodex,20/05/2022,15,3.8
111,San,Ronstring,22/10/2022,4,2.4
112,Březí,Zaam-Dox,12/10/2022,114,6.9
113,Vilhena,LM35 Temp sensor Data in Celsius,20/07/2022,114,6.1
114,Danxi,Ultrasonic Sensor Distance,3/7/2022,102,4.8
115,Mlalo,Drone Sensor Fusion,23/02/2022,56,7.4
116,Uromi,Distance measurment using ultrasonic sensor,29/08/2022,168,5.7
117,Madrid,Monitoring Solar Panel,26/05/2022,182,8.5
118,Goúvai,Smoke Detector,31/03/2022,153,7
119,Piran,SSA Lab Temp/Humidity,23/07/2022,180,9.4
120,El Coco,Solarbreeze,17/01/2022,5,9.1
121,Yanjiatai,Sonair,11/10/2022,104,1.3
122,Zhongmen,Toughjoyfax,28/02/2022,12,6.5
123,Béré,Redhold,13/07/2022,27,4.2
124,Longmen,Alphazap,14/09/2022,73,8.7
125,Zheleznovodsk,Stronghold,16/07/2022,140,6.8
126,Pallasca,Zamit,3/8/2022,129,7.6
127,Changuillo,Tresom,8/8/2022,149,3.5
128,Moville,Bamity,1/4/2022,83,4.9
129,Shuangfeng,Sonair,31/01/2022,75,6.9
130,Dalu,Duobam,30/08/2022,72,2.7
131,Guantian,Duobam,20/04/2022,180,4.7
132,Antaparco,Bigtax,14/03/2022,69,1
133,Bu‘eina,Overhold,28/02/2022,110,9.4
134,Cabog,Voltsillam,25/01/2022,128,2.6
135,Kopong,Cookley,15/08/2022,13,6.3
136,Xiaohe,Span,15/01/2022,45,7.1
137,Panunggangan,Stronghold,7/3/2022,74,1.9
138,Chengmen,Overhold,19/05/2022,153,6.7
139,Malitbog,Pannier,3/9/2022,171,9.2
140,Rio Pardo,Trippledex,28/02/2022,93,4.4
141,Ust’-Ilimsk,Ventosanzap,26/04/2022,167,1.8
142,Mississauga,Tampflex,13/03/2022,9,2.6
143,Quinta do Anjo,Span,26/07/2022,119,5.8
144,Yengiawat,Zamit,12/5/2022,180,9.5
145,Conceição da Abóboda,Cardify,30/07/2022,162,6
146,Nový Malín,It,31/01/2022,183,1.6
147,Nantes,Domainer,19/10/2022,129,7.2
148,Pandian,Tresom,13/07/2022,182,1.7
149,Leran,Zamit,29/09/2022,5,3.4
150,Spitak,Bigtax,6/8/2022,127,2.5
151,Vlkoš,Toughjoyfax,8/6/2022,7,3.7
152,Zhyrovichy,Greenlam,24/05/2022,124,4.6
153,Gävle,Solarbreeze,4/5/2022,36,5.9
154,Esch-sur-Alzette,Sub-Ex,11/7/2022,116,1
155,Lokot’,Y-find,19/10/2022,125,5.9
156,Overyata,Aerified,22/09/2022,110,8.5
157,Wuxiang,Opela,23/06/2022,86,9.6
158,Onsŏng,Stronghold,5/2/2022,151,1.7
159,Vila Nova,Vagram,11/2/2022,45,6.6
160,Giado,Transcof,12/1/2022,179,7.1
161,Ovalle,Daltfresh,20/05/2022,82,7.6
162,Kaišiadorys,Greenlam,23/10/2022,27,4.4
163,Ierápetra,Stringtough,18/08/2022,26,4
164,Dorowa Mining Lease,Wrapsafe,25/02/2022,37,9
165,Shuanglong,Quo Lux,16/03/2022,34,3.7
166,Ibitinga,Home Ing,6/9/2022,109,9.8
167,Kasingan,Tampflex,3/1/2022,6,8.2
168,Manique de Baixo,Sonsing,19/02/2022,78,6.2
169,Wufeng,Zoolab,2/9/2022,180,3.4
170,Yaroslavl,Sub-Ex,25/06/2022,122,6.2
171,Bobon,Breath Rate Peak Detection,12/6/2022,21,9.1
172,Loikaw,Monitor Temperature Humidity and Gas Exposure,9/6/2022,2,4.1
173,Kurchaloy,Weight Measurement,27/09/2022,152,4.4
174,Beverwijk,analyzing weather,18/04/2022,63,1.4
175,Ringin Kembar,gas sensor for monitoring and data analytics,2/2/2022,140,1.1
176,Liuzu,Tempsoft,24/05/2022,102,5.2
177,Xin’an,Flexidy,14/07/2022,102,4.3
178,Yifaquan,Bigtax,28/03/2022,158,6.8
179,Barisāl,Bytecard,20/08/2022,135,7
180,Gamboula,Subin,3/5/2022,112,3.1
181,Sapadun,Duobam,28/02/2022,44,6
182,San Pedro,Treeflex,8/10/2022,49,3.1
183,San Diego,Tin,6/9/2022,54,8.4
184,Vale,Otcom,13/03/2022,20,3.3
185,Chợ Gạo,Pannier,21/09/2022,56,6.1
186,Nahrīn,Cardify,7/8/2022,156,8.8
187,Zaragoza,Alpha,6/4/2022,97,2.2
188,Sławatycze,Konklux,6/4/2022,140,9.6
189,Asunción Mita,Voltsillam,25/04/2022,41,3.3
190,Karangsuko,Tres-Zap,21/05/2022,81,7.7
191,Xiangxiang,Monitoramento de Temperatura e Humidade 1,8/3/2022,146,9.3
192,Zhongwei,smart home implementation,25/04/2022,102,6.8
193,Bandung,Monitoring Susu Sapi Perah,23/07/2022,25,4.3
194,Colorado Springs,pvp aqua controling,27/02/2022,161,7.5
